Pogram,Program Code,Program Type,Major CIP,CIP Area,Degee,Major,Marjo Code,Students AY 2025,FY 2022 Grads,Wages Found,Median Wages,FY 24 Grads,Transferred in 1 Year,Median Hourly,5 Year Job Change,Articulations,Labor Market Analysis
Anthropology: AS,ANTH-AS,Transfer,450201,Anthropology,AS,Anthropology,ANTH,89,0,0,,12,8,63.37,0.15,1,"Current demand: 22,545 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 26,370 jobs by 2030 (17%), a net change of 3,824; national-trend adjustment suggests 2,881. Earnings: average annual pay ranges from $92,689 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 25,102 regional graduates in 2024 (SLCC: 2,550), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Appr CNC Machinist Tech: CA,TECN-CA,Workforce,480510,CNC Machinist,CA,Appr CNC Machinist Technician,TECN,10,0,0,,0,0,22.6,0.1,0,"Current demand: 751 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 854 jobs by 2030 (14%), a net change of 103; national-trend adjustment suggests -5. Earnings: average annual pay ranges from $49,031 to $73,170 across mapped roles; top-paying role locally is Computer Numerically Controlled Tool Programmers ($73,170). Typical education: High school diploma or equivalent. Completions: 296 regional graduates in 2024 (SLCC: 80), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Computer Numerically Controlled Tool Operators (640 jobs, $49,031); Computer Numerically Controlled Tool Programmers (111 jobs, $73,170). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Apprentice: PI,APPR-PI,Workforce,460000,"Construction Trades, General",PI,Apprenticeship - AAS,APPR,8,0,0,,0,0,33.76,0.14,0,"Current demand: 10,189 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 11,749 jobs by 2030 (15%), a net change of 1,560; national-trend adjustment suggests 468. Earnings: average annual pay ranges from $79,933 to $79,933 across mapped roles; top-paying role locally is First-Line Supervisors of Construction Trades and Extraction Workers ($79,933). Typical education: High school diploma or equivalent. Completions: 503 regional graduates in 2024 (SLCC: 40), indicating a likely talent shortfall relative to net growth. Highlighted occupations: First-Line Supervisors of Construction Trades and Extraction Workers (10,189 jobs, $79,933). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Architecture: AS,AT-AS,Transfer,040901,Architectural Technology,AS,Architectural Technology,AT,210,0,0,,10,7,40.4,0.15,1,"Current demand: 1,212 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,362 jobs by 2030 (12%), a net change of 150; national-trend adjustment suggests 53. Earnings: average annual pay ranges from $65,625 to $65,625 across mapped roles; top-paying role locally is Architectural and Civil Drafters ($65,625). Typical education: Associate's degree. Completions: 218 regional graduates in 2024 (SLCC: 24), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Architectural and Civil Drafters (1,212 jobs, $65,625). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Atmospheric Sciences: AS,ATMO-AS,Transfer,400401,Atmospheric Scienc Meteorology,AS,Atmospheric Sciences,ATMO,15,0,0,,0,0,55.21,0.15,1,"Current demand: 2,650 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,009 jobs by 2030 (14%), a net change of 359; national-trend adjustment suggests 200. Earnings: average annual pay ranges from $54,027 to $133,182 across mapped roles; top-paying role locally is Natural Sciences Managers ($133,182). Typical education: Bachelor's degree. Completions: 3,500 regional graduates in 2024 (SLCC: 103), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Life, Physical, and Social Science Technicians, All Other (1,440 jobs, $54,027); Natural Sciences Managers (1,011 jobs, $133,182). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Auto Coll Repair/Refinish: AAS,ACRR-AAS,Workforce,470603,Auto Collision Repair/Refinish,AAS,Auto Collision Repair/Refinish,ACRR,54,7,6,55985,11,0,26.15,0.11,0,"Current demand: 3,041 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,387 jobs by 2030 (11%), a net change of 346; national-trend adjustment suggests 183. Earnings: average annual pay ranges from $53,436 to $77,239 across mapped roles; top-paying role locally is Insurance Appraisers, Auto Damage ($77,239). Typical education: High school diploma or equivalent. Completions: 1,069 regional graduates in 2024 (SLCC: 192), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Automotive Body and Related Repairers (1,472 jobs, $59,014); Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (1,399 jobs, $53,436). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Auto Collision Repair: CER,ACR-CER,Workforce,470603,Auto Collision Repair/Refinish,CER,Auto Collision Repair,ACR,5,7,5,40672,8,0,26.15,0.11,0,"Current demand: 3,041 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,387 jobs by 2030 (11%), a net change of 346; national-trend adjustment suggests 183. Earnings: average annual pay ranges from $53,436 to $77,239 across mapped roles; top-paying role locally is Insurance Appraisers, Auto Damage ($77,239). Typical education: High school diploma or equivalent. Completions: 1,069 regional graduates in 2024 (SLCC: 192), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Automotive Body and Related Repairers (1,472 jobs, $59,014); Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (1,399 jobs, $53,436). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Auto Refinishing: CER,AR-CER,Workforce,470603,Auto Collision Repair/Refinish,CER,Auto Refinishing,AR,4,7,6,56544,10,0,26.15,0.11,0,"Current demand: 3,041 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,387 jobs by 2030 (11%), a net change of 346; national-trend adjustment suggests 183. Earnings: average annual pay ranges from $53,436 to $77,239 across mapped roles; top-paying role locally is Insurance Appraisers, Auto Damage ($77,239). Typical education: High school diploma or equivalent. Completions: 1,069 regional graduates in 2024 (SLCC: 192), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Automotive Body and Related Repairers (1,472 jobs, $59,014); Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (1,399 jobs, $53,436). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Automation Technology:CC,TEMT-CC,Workforce,150406,Automation Technology,CC,Automation Technology,TEMT,44,0,0,,0,0,27.76,0.12,0,"Current demand: 1,233 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,374 jobs by 2030 (11%), a net change of 140; national-trend adjustment suggests 63. Earnings: average annual pay ranges from $56,459 to $72,886 across mapped roles; top-paying role locally is Electrical and Electronic Engineering Technologists and Technicians ($72,886). Typical education: Associate's degree. Completions: 91 regional graduates in 2024 (SLCC: 29), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Electrical and Electronic Engineering Technologists and Technicians (926 jobs, $72,886); Electro-Mechanical and Mechatronics Technologists and Technicians (307 jobs, $56,459). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Automotive & Related Tech: AAS,AUTR-AAS,Workforce,470604,Automobile/Auto Mechanics,AAS,Automotive and Related Techgy,AUTR,1,0,0,,0,0,28.88,0.09,0,"Current demand: 8,467 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 9,583 jobs by 2030 (13%), a net change of 1,116; national-trend adjustment suggests 754. Earnings: average annual pay ranges from $52,749 to $80,811 across mapped roles; top-paying role locally is Electrical and Electronics Installers and Repairers, Transportation Equipment ($80,811). Typical education: Postsecondary nondegree award. Completions: 670 regional graduates in 2024 (SLCC: 217), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Automotive Service Technicians and Mechanics (8,331 jobs, $52,773); Electronic Equipment Installers and Repairers, Motor Vehicles (75 jobs, $52,749). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Automotive Technician: AAS,AUT-AAS,Workforce,470604,Automobile/Auto Mechanics,AAS,Automotive Technician,AUT,10,11,8,62983,9,0,28.88,0.09,0,"Current demand: 8,467 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 9,583 jobs by 2030 (13%), a net change of 1,116; national-trend adjustment suggests 754. Earnings: average annual pay ranges from $52,749 to $80,811 across mapped roles; top-paying role locally is Electrical and Electronics Installers and Repairers, Transportation Equipment ($80,811). Typical education: Postsecondary nondegree award. Completions: 670 regional graduates in 2024 (SLCC: 217), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Automotive Service Technicians and Mechanics (8,331 jobs, $52,773); Electronic Equipment Installers and Repairers, Motor Vehicles (75 jobs, $52,749). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Automotive Undercar Spclst:CP,TEAU-CP,Workforce,470604,Automobile/Auto Mechanics,CP,Auto Undercar Specialist,TEAU,87,0,0,,19,0,28.88,0.09,0,"Current demand: 8,467 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 9,583 jobs by 2030 (13%), a net change of 1,116; national-trend adjustment suggests 754. Earnings: average annual pay ranges from $52,749 to $80,811 across mapped roles; top-paying role locally is Electrical and Electronics Installers and Repairers, Transportation Equipment ($80,811). Typical education: Postsecondary nondegree award. Completions: 670 regional graduates in 2024 (SLCC: 217), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Automotive Service Technicians and Mechanics (8,331 jobs, $52,773); Electronic Equipment Installers and Repairers, Motor Vehicles (75 jobs, $52,749). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Aviation Tech - Prof Pilot: PI,ATPP-PI,Workforce,490102,Aviation Tech/Profess Pilot,PI,Aviation Tech/Prof Pilot,ATPP,1,0,0,,0,0,64.09,0.15,0,"Current demand: 3,087 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,559 jobs by 2030 (15%), a net change of 472; national-trend adjustment suggests 247. Earnings: average annual pay ranges from $115,939 to $164,639 across mapped roles; top-paying role locally is Airline Pilots, Copilots, and Flight Engineers ($164,639). Typical education: Bachelor's degree. Completions: 831 regional graduates in 2024 (SLCC: 3), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Airline Pilots, Copilots, and Flight Engineers (2,146 jobs, $164,639); Commercial Pilots (941 jobs, $115,939). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Behavioral Health Tech:CP,BHT-CP,Workforce,512212,Behavioral Aspects of Health,CP,Behavioral Health Tech,BHT,6,0,0,,0,0,28.46,0.15,0,"Current demand: 1,088 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,282 jobs by 2030 (18%), a net change of 194; national-trend adjustment suggests 112. Earnings: average annual pay ranges from $55,922 to $73,241 across mapped roles; top-paying role locally is Health Education Specialists ($73,241). Typical education: Bachelor's degree. Completions: 2,020 regional graduates in 2024 (SLCC: 109), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Community Health Workers (612 jobs, $55,922); Health Education Specialists (476 jobs, $73,241). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Biology: APS,BIOL-APS,Workforce,260101,Biology,APS,Biology,BIOL,17,0,0,,0,0,34.64,0.14,0,"Current demand: 10,192 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 11,360 jobs by 2030 (11%), a net change of 1,168; national-trend adjustment suggests 366. Earnings: average annual pay ranges from $45,690 to $151,260 across mapped roles; top-paying role locally is Life Scientists, All Other ($151,260). Typical education: Bachelor's degree. Completions: 10,631 regional graduates in 2024 (SLCC: 273), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Natural Sciences Managers (1,011 jobs, $133,182). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Biology: AS,BIOL-AS,Transfer,260101,Biology,AS,Biology,BIOL,630,0,0,,26,15,34.64,0.14,1,"Current demand: 10,192 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 11,360 jobs by 2030 (11%), a net change of 1,168; national-trend adjustment suggests 366. Earnings: average annual pay ranges from $45,690 to $151,260 across mapped roles; top-paying role locally is Life Scientists, All Other ($151,260). Typical education: Bachelor's degree. Completions: 10,631 regional graduates in 2024 (SLCC: 273), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Natural Sciences Managers (1,011 jobs, $133,182). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Biotechnology: AS,BIOT-AS,Transfer,410101,Biotechnology Technician,AS,Biotechnology Technician,BIOT,94,0,0,,5,4,24.23,0.12,0,"Current demand: 767 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 890 jobs by 2030 (16%), a net change of 123; national-trend adjustment suggests 57. Earnings: average annual pay ranges from $59,433 to $59,433 across mapped roles; top-paying role locally is Biological Technicians ($59,433). Typical education: Bachelor's degree. Completions: 724 regional graduates in 2024 (SLCC: 35), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Biological Technicians (767 jobs, $59,433). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Biotechnology: CP,BTEC-CP,Workforce,410101,Biotechnology Technician,CP,Biotechnology,BTEC,2,7,7,61676,4,3,24.23,0.12,0,"Current demand: 767 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 890 jobs by 2030 (16%), a net change of 123; national-trend adjustment suggests 57. Earnings: average annual pay ranges from $59,433 to $59,433 across mapped roles; top-paying role locally is Biological Technicians ($59,433). Typical education: Bachelor's degree. Completions: 724 regional graduates in 2024 (SLCC: 35), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Biological Technicians (767 jobs, $59,433). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Brick Mason: CA,TEBM-CA,Workforce,460101,Mason/Masonry,CA,Brick Mason,TEBM,15,0,0,,0,0,31.31,0.14,0,"Current demand: 13,626 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 15,753 jobs by 2030 (16%), a net change of 2,127; national-trend adjustment suggests 496. Earnings: average annual pay ranges from $53,641 to $79,933 across mapped roles; top-paying role locally is First-Line Supervisors of Construction Trades and Extraction Workers ($79,933). Typical education: High school diploma or equivalent. Completions: 517 regional graduates in 2024 (SLCC: 52), indicating a likely talent shortfall relative to net growth. Highlighted occupations: First-Line Supervisors of Construction Trades and Extraction Workers (10,189 jobs, $79,933); Tile and Stone Setters (1,667 jobs, $55,094). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Business Administration: AAS,BUSA-AAS,Workforce,520101,Business Admin & Mgt/General,AAS,Business Administration,BUSA,3,1,1,70623,1,0,47.82,0.15,0,"Current demand: 120,964 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 139,931 jobs by 2030 (16%), a net change of 18,967; national-trend adjustment suggests 11,810. Earnings: average annual pay ranges from $38,041 to $167,863 across mapped roles; top-paying role locally is Chief Executives ($167,863). Typical education: Bachelor's degree. Completions: 129,069 regional graduates in 2024 (SLCC: 13,819), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: General and Operations Managers (35,802 jobs, $119,222); Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Business Basics: CP,BUSB-CP,Workforce,520101,Business Admin & Mgt/General,CP,Business Basics,BUSB,2,38,29,50686,19,5,47.82,0.15,0,"Current demand: 120,964 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 139,931 jobs by 2030 (16%), a net change of 18,967; national-trend adjustment suggests 11,810. Earnings: average annual pay ranges from $38,041 to $167,863 across mapped roles; top-paying role locally is Chief Executives ($167,863). Typical education: Bachelor's degree. Completions: 129,069 regional graduates in 2024 (SLCC: 13,819), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: General and Operations Managers (35,802 jobs, $119,222); Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Business Management: AAS,BMGT-AAS,Workforce,520101,Business Admin & Mgt/General,AAS,Business,BUS,1,0,0,,0,0,47.82,0.15,0,"Current demand: 120,964 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 139,931 jobs by 2030 (16%), a net change of 18,967; national-trend adjustment suggests 11,810. Earnings: average annual pay ranges from $38,041 to $167,863 across mapped roles; top-paying role locally is Chief Executives ($167,863). Typical education: Bachelor's degree. Completions: 129,069 regional graduates in 2024 (SLCC: 13,819), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: General and Operations Managers (35,802 jobs, $119,222); Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
